date,city,city_name,total,houses,non_houses
2002-10-01,Hobart,Greater Hobart,87.0,70.0,17.0
2002-10-01,Darwin,Greater Darwin,72.0,20.0,52.0
2002-10-01,ACT,Australian Capital Territory,318.0,206.0,112.0
2002-11-01,Sydney,Greater Sydney,2883.0,1059.0,1824.0
2002-11-01,Melbourne,Greater Melbourne,2484.0,1627.0,857.0
2002-11-01,Brisbane,Greater Brisbane,1598.0,882.0,716.0
2002-11-01,Adelaide,Greater Adelaide,716.0,550.0,166.0
2002-11-01,Perth,Greater Perth,1377.0,1198.0,179.0
2002-11-01,Hobart,Greater Hobart,71.0,71.0,0.0
2002-11-01,Darwin,Greater Darwin,45.0,37.0,8.0
2002-11-01,ACT,Australian Capital Territory,292.0,249.0,43.0
2002-12-01,Sydney,Greater Sydney,2377.0,753.0,1624.0
2002-12-01,Melbourne,Greater Melbourne,2678.0,1928.0,750.0
2002-12-01,Brisbane,Greater Brisbane,1534.0,945.0,589.0
2002-12-01,Adelaide,Greater Adelaide,723.0,459.0,264.0
2002-12-01,Perth,Greater Perth,1291.0,1011.0,280.0
2002-12-01,Hobart,Greater Hobart,104.0,98.0,6.0
2002-12-01,Darwin,Greater Darwin,73.0,29.0,44.0
2002-12-01,ACT,Australian Capital Territory,316.0,131.0,185.0
2003-01-01,Sydney,Greater Sydney,2639.0,856.0,1783.0
2003-01-01,Melbourne,Greater Melbourne,2507.0,1404.0,1103.0
2003-01-01,Brisbane,Greater Brisbane,1261.0,979.0,282.0
2003-01-01,Adelaide,Greater Adelaide,622.0,358.0,264.0
2003-01-01,Perth,Greater Perth,1457.0,1192.0,265.0
2003-01-01,Hobart,Greater Hobart,68.0,66.0,2.0
2003-01-01,Darwin,Greater Darwin,12.0,12.0,0.0
2003-01-01,ACT,Australian Capital Territory,139.0,90.0,49.0
2003-02-01,Sydney,Greater Sydney,2368.0,887.0,1481.0
2003-02-01,Melbourne,Greater Melbourne,2574.0,1956.0,618.0
2003-02-01,Brisbane,Greater Brisbane,1577.0,1109.0,468.0
2003-02-01,Adelaide,Greater Adelaide,543.0,452.0,91.0
2003-02-01,Perth,Greater Perth,1556.0,1072.0,484.0
2003-02-01,Hobart,Greater Hobart,71.0,69.0,2.0
2003-02-01,Darwin,Greater Darwin,69.0,27.0,42.0
2003-02-01,ACT,Australian Capital Territory,224.0,157.0,67.0
2003-03-01,Sydney,Greater Sydney,2351.0,731.0,1620.0
2003-03-01,Melbourne,Greater Melbourne,2578.0,1700.0,878.0
2003-03-01,Brisbane,Greater Brisbane,2010.0,1162.0,848.0
2003-03-01,Adelaide,Greater Adelaide,813.0,475.0,338.0
2003-03-01,Perth,Greater Perth,1353.0,1117.0,236.0
2003-03-01,Hobart,Greater Hobart,77.0,77.0,0.0
2003-03-01,Darwin,Greater Darwin,64.0,27.0,37.0
2003-03-01,ACT,Australian Capital Territory,219.0,96.0,123.0
2003-04-01,Sydney,Greater Sydney,2202.0,755.0,1447.0
2003-04-01,Melbourne,Greater Melbourne,3628.0,1841.0,1787.0
2003-04-01,Brisbane,Greater Brisbane,1243.0,915.0,328.0
2003-04-01,Adelaide,Greater Adelaide,568.0,450.0,118.0
2003-04-01,Perth,Greater Perth,1231.0,1040.0,191.0
2003-04-01,Hobart,Greater Hobart,79.0,58.0,21.0
2003-04-01,Darwin,Greater Darwin,25.0,15.0,10.0
2003-04-01,ACT,Australian Capital Territory,221.0,183.0,38.0
2003-05-01,Sydney,Greater Sydney,2548.0,955.0,1593.0
